Total Dataset Population (in billions),,,PART1-3: Investigating Population Size,,,,,,
7.786695108,,,,,,,,,
,,,,,,,,,
Estimated World Population (in billions),,,,,,,,,
7.821,,,,,,,,,
,,,,,,,,,
Total Dataset Urban Population (in billions),,,,,,,,,
4.375308463,,,,,,,,,
,,,,,,,,,
Estimated World Urban Population (in billions),,,,,,,,,
4.30155,,,,,,,,,
,,,,,,,,,
Urban Share in Dataset (%),,,,,,,,,
56.18954386,,,,,,,,,
,,,,,,,,,
Population Percentage Difference,,,,,,,,,
0.4395894719,,,,,,,,,
,,,,,,,,,
Urban Population Percentage Difference,,,,,,,,,
1.700119067,,,,,,,,,
,,,,,,,,,
Urban Share Percentage Difference,,,,,,,,,
2.139668561,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
53771.30078,,61.63289158,9.54187005,9.780087524,19.04515084,,,,
54409.79297,,83.71819191,1.595436949,5.10942478,9.576946362,,,,
59308.69141,,93.88505744,2.772736186,1.410816657,1.931389712,,,,
59734.21484,,60.71679759,11.29007067,14.51775136,13.47538038,,,,
60461.82813,,99.91703407,0,0.08296592591,0,,,,
65273.51172,,99.9999985,0,0.00000149610841,0,,,,
67886.00781,,99.99999856,0,0.00000143853282,0,,,,
69799.97656,,100,0,0,0,,,,
83783.94531,,100.0000023,0,0,0,,,,
83992.95313,,97.48263633,1.938311229,0.5137973631,0.06525508185,,,,
84339.07031,,97.01426916,2.023078075,0.7376749545,0.2249778093,,,,
89561.40625,,45.95212696,13.44122447,32.54231607,8.064332495,,,,
97338.58594,,96.88435687,0,3.115643126,0,,,,
102334.4063,,99.44017596,0.2376091086,0.3222149265,0,,,,
109581.0859,,94.10903456,2.856486137,3.034479307,0,,,,
114963.5859,,49.61557274,26.74071964,18.63506013,5.008647486,,,,
126476.4609,,99.07891245,0,0.9210875467,0,,,,
128932.75,,99.67956828,0,0.3204317169,0,,,,
